datetime,price,hour,action,soc,energy_delta,revenue
2025-09-15 18:00:00,219.7379117816988,18,DISCHARGE,20.0,-10.0,1977.6412060352893
2025-09-15 19:00:00,275.1619517033689,19,DISCHARGE,10.0,-10.0,2476.45756533032
2025-09-15 20:00:00,187.96112136535385,20,DISCHARGE,0.0,-10.0,1691.6500922881846
2025-09-15 21:00:00,177.47963780083137,21,HOLD,0.0,0.0,0.0
2025-09-15 22:00:00,150.17153842614132,22,HOLD,0.0,0.0,0.0
2025-09-15 23:00:00,138.44761559031204,23,HOLD,0.0,0.0,0.0
2025-09-16 00:00:00,108.4910242710256,0,HOLD,0.0,0.0,0.0
2025-09-16 01:00:00,105.10115909869468,1,HOLD,0.0,0.0,0.0
2025-09-16 02:00:00,88.40747917763814,2,HOLD,0.0,0.0,0.0
2025-09-16 03:00:00,85.62093842511875,3,HOLD,0.0,0.0,0.0
2025-09-16 04:00:00,87.04232985484424,4,HOLD,0.0,0.0,0.0
2025-09-16 05:00:00,108.4910242710256,5,HOLD,0.0,0.0,0.0
2025-09-16 06:00:00,149.33813265979148,6,HOLD,0.0,0.0,0.0
2025-09-16 07:00:00,132.3018871783335,7,HOLD,0.0,0.0,0.0
2025-09-16 08:00:00,82.80883307853955,8,HOLD,0.0,0.0,0.0
2025-09-16 09:00:00,15.998322962629675,9,CHARGE,10.0,10.0,-159.98322962629675
2025-09-16 10:00:00,8.431203120925643,10,CHARGE,20.0,10.0,-84.31203120925643
2025-09-16 11:00:00,8.431203120925643,11,CHARGE,30.0,10.0,-84.31203120925643
2025-09-16 12:00:00,5.118031730774147,12,CHARGE,40.0,10.0,-51.180317307741475
2025-09-16 13:00:00,8.441428958549569,13,CHARGE,50.0,10.0,-84.41428958549568
2025-09-16 14:00:00,44.998798464079194,14,HOLD,50.0,0.0,0.0
2025-09-16 15:00:00,70.00097145457427,15,DISCHARGE,40.0,-10.0,630.0087430911684
2025-09-16 16:00:00,116.0223536810459,16,DISCHARGE,30.0,-10.0,1044.201183129413
2025-09-16 17:00:00,181.4779403117858,17,DISCHARGE,20.0,-10.0,1633.3014628060723
2025-09-16 18:00:00,221.36893288271472,18,DISCHARGE,10.0,-10.0,1992.3203959444324
